match_id,played_on,p_a,actual_a,log_loss,brier,correct,team_a_mu_avg,team_a_sigma_avg,team_b_mu_avg,team_b_sigma_avg
10771,2025-07-02,0.25340863419753384,0,0.2922372772584982,0.06421593588585951,1,21.070895017429912,6.212244571238733,25.757075267472732,6.588273127357343
10772,2025-07-02,0.4254307283657978,0,0.554134611705083,0.18099130463785323,1,36.60077682647652,6.523544508443207,37.88971390800314,5.830122154001438
10773,2025-07-02,0.4542988544191247,0,0.6056838055052286,0.20638744912652907,1,27.638949464766768,6.799924144179641,28.455939580185458,6.132087752154163
10774,2025-07-02,0.8509069847405318,0,1.9031849043217097,0.7240426966802237,0,27.661132461168954,6.731391750315421,19.869171777218227,7.016189087424356
10775,2025-07-02,0.8878341976615809,1,0.11897026776832695,0.012581167214221305,1,32.6959656408402,6.421656138429402,24.203112769235602,6.204015657079513
10776,2025-07-02,0.5158794555976824,1,0.6618821539751705,0.2343727015123963,1,24.505020144098417,7.801200628851319,24.197646242067933,6.376743764444846
10778,2025-07-02,0.9170539381048056,1,0.08658898827578855,0.006880049183921417,1,25.271355192834974,6.335352328397965,15.730731891222955,6.107009349484679
10779,2025-07-02,0.5513006771067032,1,0.595474925187175,0.20133108236490305,1,25.743347197288294,5.945733565100474,24.835330846498366,6.8117613616046935
10780,2025-07-02,0.2539699505387426,0,0.2929893988104596,0.06450073577665137,1,20.26187896207793,6.545087370188687,25.068189297736083,6.69583500883534
10781,2025-07-02,0.18200916965545424,0,0.20090415228996436,0.033127337838667927,1,27.159019021538057,6.076993210665907,33.28198475604309,6.028328883607484
11604,2025-07-02,0.194815496081352,0,0.2166838304108188,0.037953077513423285,1,20.439513837315964,6.153981236083467,26.461428743519313,6.516452806518941
11605,2025-07-02,0.32958137646312,0,0.3998529504613308,0.10862388371132485,1,35.65260483351846,6.440074600454132,38.648720930830876,5.776774371877448
11606,2025-07-02,0.35134391779262264,0,0.43285262229223814,0.12344254856986918,1,26.60508038550342,6.7108034510446,29.29539483334337,6.073788992070608
11607,2025-07-02,0.7337258724150546,0,1.3232289460268962,0.538353655851233,0,26.144828678383064,6.673923372809357,21.506068140933756,6.949735495446862
11608,2025-07-02,0.9116399013520626,1,0.09251021188832456,0.007807507033073223,1,33.15739029981166,6.36669037595682,23.778043473361322,6.158378125677409
11609,2025-07-02,0.6276415001472052,1,0.4657861351545472,0.1386508524126238,1,25.813017836946216,7.678232094937361,23.32693095703388,6.323096618254416
11611,2025-07-02,0.9337601614827115,1,0.06853566014965246,0.004387716206796463,1,25.664579822958167,6.288378233944624,15.36505271793724,6.066424837798301
11612,2025-07-02,0.6527776208100426,1,0.4265187577672369,0.12056338061033453,1,26.534986567021477,5.892657802895423,23.795185289519463,6.719320246630893
11613,2025-07-02,0.194579877201414,0,0.21639124602640777,0.03786132861171736,1,19.584130197274902,6.480481972340561,25.78139283585105,6.623605534138475
