match_id,played_on,p_a,actual_a,log_loss,brier,correct,team_a_mu_avg,team_a_sigma_avg,team_b_mu_avg,team_b_sigma_avg
10771,2025-07-02,0.40385419869759137,0,0.5172700087768421,0.1630982138056736,1,25.36356073716494,4.4604688216721495,26.75793937765036,5.276804268976058
10772,2025-07-02,0.5442831000861361,0,0.7858834957869111,0.2962440930393749,0,42.225974017213446,4.849036306528557,41.609928479229445,4.50217313124404
10773,2025-07-02,0.35274513552362596,0,0.43501514477212866,0.12442913063558125,1,26.671875820160437,5.040904011565151,28.84405932977182,4.822979206957368
10774,2025-07-02,0.9010939200820148,0,2.3135845668336517,0.8119702528087726,0,27.619708649981654,5.10900676842771,19.578874496997393,5.867507585404859
10775,2025-07-02,0.8886086528557151,1,0.11809835090033094,0.012408032218618586,1,35.66376400924861,4.8042745358519126,28.977907457413682,4.304706763363098
10776,2025-07-02,0.5202396987527784,1,0.6534656144757325,0.2301699466528248,1,24.21387171866445,7.353483054422874,23.857029245424506,5.143127614729753
10778,2025-07-02,0.9685906898257602,1,0.03191316104995306,0.000986544765621601,1,25.675079906786294,4.96089216723473,15.448518145110832,4.28179511621183
10779,2025-07-02,0.852058442577114,1,0.16010015993124402,0.02188670441270906,1,28.799457722627405,4.220838625222067,23.06032786391449,4.989158172175413
10780,2025-07-02,0.09308086126998465,0,0.09770198528892869,0.008664046734762128,1,18.087372703927834,5.080106858274108,26.209105136118914,5.589616289707181
10781,2025-07-02,0.1120208663665678,0,0.11880703442660244,0.01254867450151644,1,26.81460663324215,4.399569571818421,33.21506259813006,4.295840090309358
11604,2025-07-02,0.2833575455847315,0,0.3331782316360832,0.08029149863980317,1,24.57944289634157,4.410670983829891,27.82603273509782,5.186892864632826
11605,2025-07-02,0.39361450015769284,0,0.5002393568094147,0.15493237473439037,1,41.10290343255726,4.776924044332999,42.583161084616656,4.447909455734147
11606,2025-07-02,0.24680178142347298,0,0.2834268473419698,0.06091111931379973,1,25.772791162180013,4.968507120793771,29.66840754787253,4.762166356612985
11607,2025-07-02,0.7530557447067616,0,1.398592654897229,0.5670929546358553,0,25.98118378172209,5.06757151363007,21.744876095494554,5.7940865135331405
